ID,code_module,Total Of sum_click,Distinction,Fail,Pass,Withdrawn
1,AAA,53,,,3.79245283,
2,AAA,101,,,2.683168317,
4,AAA,206,,,3.218446602,
5,AAA,53,,,3.056603774,
6,AAA,154,,,3.012987013,
7,AAA,75,,,2.146666667,
8,AAA,136,,,2.389705882,
9,AAA,169,,,3.532544379,
10,AAA,308,,,3.25974026,
11,AAA,104,,,3.269230769,
12,AAA,133,,,3.511278195,
13,AAA,85,,,2.247058824,
14,AAA,359,,,3.061281337,
15,AAA,187,,,3.834224599,
16,AAA,28,,,,2.75
17,AAA,54,,,4.462962963,
18,AAA,184,,,2.89673913,
19,AAA,23,,1.782608696,,
20,AAA,156,,,3.782051282,
21,AAA,68,,,2.5,
22,AAA,146,,,3.01369863,
23,AAA,14,,,,3.214285714
24,AAA,73,,,8.753424658,
25,AAA,64,,,3.90625,
26,AAA,193,,,4.616580311,
27,AAA,207,,,2.347826087,
28,AAA,67,,,3.611940299,
29,AAA,147,,,4.646258503,
30,AAA,69,,,,2.463768116
31,AAA,30,,,2.733333333,
32,AAA,81,,,2.641975309,
33,AAA,188,,,4.367021277,
34,AAA,307,,,3.16286645,
35,AAA,57,,,2.947368421,
36,AAA,131,,,2.709923664,
37,AAA,116,,,3.715517241,
38,AAA,99,,,2.97979798,
39,AAA,40,,,2.95,
40,AAA,207,,,3.043478261,
41,AAA,133,,,2.834586466,
42,AAA,150,,,,3.62
43,AAA,25,,,3.76,
44,AAA,124,5.411290323,,,
46,AAA,42,,,,1.666666667
47,AAA,488,,,3.573770492,
48,AAA,151,,,2.986754967,
49,AAA,39,,,,3.487179487
50,AAA,147,,,2.993197279,
51,AAA,399,,,3.275689223,
52,AAA,24,,,2.291666667,
53,AAA,87,,3.310344828,,
54,AAA,45,,1.777777778,,
55,AAA,14,,,,3.214285714
56,AAA,196,,,,3.025510204
57,AAA,20,,,1.45,
58,AAA,117,,,3.264957265,
59,AAA,206,,,4.169902913,
60,AAA,83,,,,2.903614458
61,AAA,91,,,4.373626374,
62,AAA,159,,,,3.830188679
63,AAA,74,,,1.864864865,
64,AAA,155,,,2.567741935,
65,AAA,56,,,2.142857143,
66,AAA,175,,,2.045714286,
67,AAA,49,,,4.081632653,
68,AAA,419,,,3.627684964,
69,AAA,385,,,3.366233766,
70,AAA,136,,,5.610294118,
71,AAA,12,,1.166666667,,
72,AAA,199,,,2.070351759,
73,AAA,15,,,,3.2
74,AAA,123,,,3.113821138,
75,AAA,85,,,2.152941176,
76,AAA,137,,,2.810218978,
77,AAA,23,,5.304347826,,
78,AAA,108,,,4.842592593,
79,AAA,498,3.672690763,,,
80,AAA,146,,,,2.945205479
81,AAA,78,,,3.858974359,
82,AAA,220,,,3.186363636,
83,AAA,128,,,,6
84,AAA,63,,,1.412698413,
85,AAA,75,,,,5.706666667
86,AAA,154,,,2.727272727,
87,AAA,21,,2.238095238,,
88,AAA,191,3.109947644,,,
89,AAA,159,,2.572327044,,
90,AAA,33,,,1.696969697,
91,AAA,65,,,3.123076923,
92,AAA,46,,,4.152173913,
93,AAA,92,,,3.097826087,
94,AAA,155,,,4.451612903,
95,AAA,8,,,,1.375
96,AAA,33,,,2.03030303,
97,AAA,151,,,2.529801325,
98,AAA,30,,,2.1,
99,AAA,56,,,1.910714286,
100,AAA,144,,,3.444444444,
101,AAA,140,,2.864285714,,
102,AAA,23,,,1.608695652,
103,AAA,64,,,3.546875,
104,AAA,207,,,2.111111111,
105,AAA,235,,,2.808510638,
106,AAA,110,,,2.881818182,
107,AAA,91,,,2.362637363,
108,AAA,450,,,3.111111111,
109,AAA,37,,,,3.783783784
110,AAA,81,,,3.037037037,
111,AAA,228,,,3.149122807,
112,AAA,188,,4.063829787,,
113,AAA,1,,,,1
114,AAA,172,,,5.627906977,
115,AAA,163,,,,3.030674847
116,AAA,49,5.102040816,,,
117,AAA,54,,,2.203703704,
118,AAA,10,,1.6,,
119,AAA,5,,1,,
120,AAA,136,,,3.698529412,
121,AAA,98,,,4.591836735,
122,AAA,52,,,3.038461538,
123,AAA,154,,,3.123376623,
124,AAA,52,,,2.211538462,
125,AAA,600,2.736666667,,,
127,AAA,29,,,1.413793103,
128,AAA,110,,,4.036363636,
129,AAA,77,,,3.194805195,
130,AAA,123,,2.276422764,,
131,AAA,162,4.191358025,,,
132,AAA,38,,,2.526315789,
133,AAA,118,,,2.644067797,
134,AAA,106,,3.216981132,,
135,AAA,5,,2.4,,
136,AAA,57,,,3.578947368,
138,AAA,98,,,2.755102041,
139,AAA,99,,,3.272727273,
140,AAA,359,,,2.451253482,
141,AAA,117,,,2.444444444,
142,AAA,128,,,3.625,
143,AAA,255,,,3.28627451,
144,AAA,551,6.31215971,,,
145,AAA,39,,,2.256410256,
146,AAA,157,,,2.802547771,
147,AAA,447,,,2.796420582,
148,AAA,694,,,4.432276657,
149,AAA,168,,,3.011904762,
150,AAA,122,,,4.540983607,
151,AAA,17,,,1.470588235,
152,AAA,175,,,,3.542857143
153,AAA,101,,,3.920792079,
154,AAA,31,,,1.483870968,
155,AAA,34,,,2.794117647,
156,AAA,15,,1.4,,
157,AAA,27,,,,1.888888889
158,AAA,310,,,,2.85483871
159,AAA,114,,,3.201754386,
160,AAA,45,,,2.244444444,
161,AAA,43,,1.534883721,,
162,AAA,40,,,,2.525
163,AAA,122,,,4.204918033,
164,AAA,86,,,2.395348837,
165,AAA,486,,,3.150205761,
166,AAA,10,,1,,
167,AAA,85,,,2.682352941,
168,AAA,216,3.101851852,,,
169,AAA,73,,,2.219178082,
170,AAA,13,,4.461538462,,
171,AAA,81,,,2.358024691,
173,AAA,52,,1.923076923,,
174,AAA,67,,3.850746269,,
175,AAA,98,,,2.06122449,
176,AAA,224,,,2.785714286,
177,AAA,172,,,2.819767442,
178,AAA,53,,,2.698113208,
179,AAA,17,,2.411764706,,
180,AAA,73,,,2.780821918,
181,AAA,117,2.735042735,,,
182,AAA,192,,,3.302083333,
183,AAA,91,,,3.087912088,
184,AAA,94,,,1.563829787,
185,AAA,38,,,1.5,
186,AAA,95,,,2.431578947,
187,AAA,36,,,2.222222222,
188,AAA,58,,,3.034482759,
189,AAA,58,,,,2.155172414
190,AAA,34,,2.176470588,,
191,AAA,175,,,2.737142857,
192,AAA,54,,,3.5,
193,AAA,61,,,3.409836066,
194,AAA,98,,3.520408163,,
195,AAA,87,,,1.908045977,
196,AAA,112,,,5.089285714,
197,AAA,38,,,2.736842105,
198,AAA,61,,,3.295081967,
200,AAA,66,,,1.878787879,
201,AAA,58,,,,4.689655172
202,AAA,62,,2.548387097,,
203,AAA,33,,,1.939393939,
204,AAA,26,,,2.807692308,
205,AAA,43,,,2.23255814,
206,AAA,127,,,,2.763779528
207,AAA,175,2.245714286,,,
208,AAA,16,,,,4.3125
209,AAA,148,,,2.986486486,
211,AAA,85,,,4.223529412,
212,AAA,113,,,2.203539823,
213,AAA,67,,,3.223880597,
214,AAA,87,,,2.229885057,
215,AAA,181,,,3.033149171,
216,AAA,51,,,4.196078431,
217,AAA,15,,1.933333333,,
218,AAA,26,,,,5.615384615
219,AAA,38,,,3.473684211,
220,AAA,107,,,3.130841121,
221,AAA,18,,1.444444444,,
222,AAA,500,,,3.778,
223,AAA,48,,,2.5625,
224,AAA,61,,,,3.639344262
225,AAA,46,,2.130434783,,
226,AAA,201,,,3.378109453,
227,AAA,350,3.865714286,,,
229,AAA,335,,,2.997014925,
