ID,code_module,Total Of sum_click,Distinction,Fail,Pass,Withdrawn
1,AAA,68,,,6.279411765,
2,AAA,165,,,3.787878788,
3,AAA,76,,,,3.697368421
4,AAA,163,,,3.472392638,
5,AAA,154,,,3.798701299,
6,AAA,206,,,3.757281553,
7,AAA,103,,,5.922330097,
8,AAA,166,,,2.71686747,
9,AAA,130,,,3.215384615,
10,AAA,168,,,3.68452381,
11,AAA,141,,,4.106382979,
12,AAA,137,,,3.890510949,
13,AAA,123,,,4.772357724,
14,AAA,172,,,4.610465116,
15,AAA,195,,,4.461538462,
16,AAA,26,,,,3.615384615
17,AAA,97,,,4.371134021,
18,AAA,283,,,3.971731449,
19,AAA,23,,1.695652174,,
20,AAA,210,,,5.028571429,
21,AAA,110,,,2.754545455,
22,AAA,123,,,3.398373984,
23,AAA,88,,,,3.340909091
24,AAA,165,,,7.206060606,
25,AAA,83,,,2.481927711,
26,AAA,243,,,6.193415638,
27,AAA,180,,,3.277777778,
28,AAA,101,,,4.396039604,
29,AAA,290,,,4.544827586,
30,AAA,65,,,,4.123076923
31,AAA,82,,,3.890243902,
32,AAA,101,,,2.594059406,
33,AAA,147,,,4.80952381,
34,AAA,228,,,4.833333333,
35,AAA,77,,,4.454545455,
36,AAA,131,,,3.213740458,
37,AAA,114,,,4.614035088,
38,AAA,108,,,5.018518519,
39,AAA,32,,,2.21875,
40,AAA,159,,,4.421383648,
41,AAA,141,,,2.815602837,
42,AAA,132,,,,3.053030303
43,AAA,36,,,4.361111111,
44,AAA,110,6.918181818,,,
45,AAA,25,,,,2.28
46,AAA,67,,,,3.23880597
47,AAA,276,,,4.376811594,
48,AAA,157,,,3.656050955,
49,AAA,5,,,,1.4
50,AAA,110,,,4.245454545,
51,AAA,342,,,3.599415205,
52,AAA,62,,,3.564516129,
53,AAA,49,,2.693877551,,
54,AAA,114,,3.473684211,,
55,AAA,27,,,,4.074074074
56,AAA,238,,,,3.592436975
57,AAA,18,,,2.055555556,
58,AAA,112,,,4.241071429,
59,AAA,230,,,4.886956522,
60,AAA,121,,,,4.52892562
